path,path_decoded,type,action,destination_or_note,post_redesign,redirect_to
/artwork,/artwork,index (ORPHAN DUP),301,/artworks,,
/artwork/-inter-symbiosis,/artwork/-inter-symbiosis,"artwork detail (ORPHAN DUP, slug typo)",301,/artworks/inter-symbiosis,,
/artwork/21g,/artwork/21g,artwork detail (ORPHAN DUP),301,/artworks/21g,,
/artwork/an-unusual-knot,/artwork/an-unusual-knot,artwork detail (ORPHAN DUP),301,/artworks/an-unusual-knot,,
/artwork/aquachroma,/artwork/aquachroma,artwork detail (ORPHAN DUP),301,/artworks/aquachroma,,
/artwork/artificial-phenomena,/artwork/artificial-phenomena,artwork detail (ORPHAN DUP),301,/artworks/artificial-phenomena,,
/artwork/beingasawoman,/artwork/beingasawoman,artwork detail (ORPHAN DUP),301,/artworks/beingasawoman,,
/artwork/biomimicry,/artwork/biomimicry,artwork detail (ORPHAN DUP),301,/artworks/biomimicry,,
/artwork/bloom,/artwork/bloom,artwork detail (ORPHAN DUP),301,/artworks/bloom,,
/artwork/debris,/artwork/debris,artwork detail (ORPHAN DUP),301,/artworks/debris,,
/artwork/deja-vu,/artwork/deja-vu,artwork detail (ORPHAN DUP),301,/artworks/deja-vu,,
/artwork/dreamy-tide,/artwork/dreamy-tide,artwork detail (ORPHAN DUP),301,/artworks/dreamy-tide,,
/artwork/essence,/artwork/essence,artwork detail (ORPHAN DUP),301,/artworks/essence,,
/artwork/gge-rof-doom-eht-ni,/artwork/gge-rof-doom-eht-ni,artwork detail (ORPHAN DUP),301,/artworks/gge-rof-doom-eht-ni,,
/artwork/in-the-mood-for-egg,/artwork/in-the-mood-for-egg,artwork detail (ORPHAN DUP),301,/artworks/in-the-mood-for-egg,,
/artwork/indefinitepink,/artwork/indefinitepink,artwork detail (ORPHAN DUP),301,/artworks/indefinitepink,,
/artwork/infinite,/artwork/infinite,artwork detail (ORPHAN DUP),301,/artworks/infinite,,
/artwork/mystic,/artwork/mystic,artwork detail (ORPHAN DUP),301,/artworks/mystic,,
/artwork/untamed,/artwork/untamed,artwork detail (ORPHAN DUP),301,/artworks/untamed,,
/artwork/will-looped,/artwork/will-looped,artwork detail (ORPHAN DUP),301,/artworks/will-looped,,
/artwork/wispsnwhispers,/artwork/wispsnwhispers,artwork detail (ORPHAN DUP),301,/artworks/wispsnwhispers,,
/copy-of-artworks-1,/copy-of-artworks-1,"artwork index (LIVE, but junk URL; nav points here)",301,/artworks  # update nav first,,
/exhibition,/exhibition,index (ORPHAN DUP),301,/exhibitions,,
/exhibition/%E6%9C%AA%E5%A4%AE%E5%A4%9C,/exhibition/未央夜,exhibition detail (ORPHAN DUP?),301,/exhibitions/whennightfalls  # VERIFY same show,,
/exhibition/airydisk,/exhibition/airydisk,exhibition detail (ORPHAN DUP),301,/exhibitions/airydisk,,
/exhibition/an-unusual-knot,/exhibition/an-unusual-knot,exhibition detail (ORPHAN DUP),301,/exhibitions/an-unusual-knot,,
/exhibition/artificial-phenomena,/exhibition/artificial-phenomena,exhibition detail (ORPHAN DUP),301,/exhibitions/artificial-phenomena,,
/exhibition/forestry-island-eco-art-festival,/exhibition/forestry-island-eco-art-festival,exhibition detail (ORPHAN DUP),301,/exhibitions/forestry-island-eco-art-festival,,
/exhibition/in-the-mood-for-egg-,/exhibition/in-the-mood-for-egg-,"exhibition detail (ORPHAN DUP, trailing hyphen)",301,/exhibitions/in-the-mood-for-egg,,
/exhibition/taipeidangdai2024,/exhibition/taipeidangdai2024,exhibition detail (ORPHAN DUP),301,/exhibitions/taipeidangdai2024,,
/exhibition/the-interval-between,/exhibition/the-interval-between,exhibition detail (ORPHAN DUP),301,/exhibitions/the-interval-between,,
/exhibition/the-miscellaneous-of-being-and-living,/exhibition/the-miscellaneous-of-being-and-living,exhibition detail (ORPHAN DUP),301,/exhibitions/the-miscellaneous-of-being-and-living,,
